Country;value.x;value.y
Australia;3.363640;20344.156
Austria;2.982406;17555.235
Belgium;3.846275;17320.185
Chile;5.041481;6677.146
Czech Republic;1.401605;10890.714
Estonia;3.296818;12867.499
Finland;4.922516;17591.236
France;4.725799;16144.755
Germany;1.981525;17035.571
Greece;15.651299;4094.526
Hungary;1.465232;8761.462
Iceland;1.658764;12670.652
Ireland;3.740826;13229.359
Israel;3.096472;11003.178
Italy;6.146841;11257.074
Japan;2.184996;19289.162
Korea;3.508609;10108.948
Latvia;3.563873;10136.706
Lithuania;2.725681;9656.920
Luxembourg;3.760349;48906.889
Mexico;3.789973;8169.657
Netherlands;2.750728;19286.205
New Zealand;2.167560;15165.733
Norway;2.273977;20972.968
Poland;2.155407;9687.392
Portugal;5.713344;11765.896
Slovak Republic;3.636245;15873.902
Slovenia;5.404609;10208.067
Spain;9.348282;12605.237
Sweden;3.873691;24417.443
Turkey;9.536528;8900.676
United Kingdom;2.294930;26320.053
United States;2.537012;30003.244
